doc_id,document_type,document_number,registration_date,importer_name,importer_cnpj,declarant_cnpj,ncm,container_number,gross_weight_kg,bl_number,country_origin,customs_value_brl,port_terminal
di_0011,DI,26/8969386-3,14/05/2025,COSTA AZUL TRADING S A,05.403.698/5411-18,83.455.266/7367-41,85371090,ZPWR9695388,"29.853,048",HBL89F5DR2YG,ALEMANHA,"160.395,77",PORTO DEMONSTRATIVO
di_0012,DI,26/9075289-5,20/04/2026,ALFA COMERCIO INTERNACIONAL LTDA,97.322.928/7120-09,41.661.776/3581-41,94036000,EILF9168892,"14.610,925",HBLPMWND79VK,ESTADOS UNIDOS,"225.770,02",PORTO DEMONSTRATIVO
di_0013,DI,25/7012421-7,09/09/2025,BRAVO IMPORTADORA DE PECAS LTDA,79.891.580/7985-38,93.674.548/0619-46,40169300,LGBM2403624,"21.552,174",HBLXTFGCWAI3,ESTADOS UNIDOS,"532.564,00",RECINTO ALFANDEGADO MODELO
di_0014,DI,26/1764172-6,13/01/2025,ATLANTICO SUL INDUSTRIA E COMERCIO LTDA,95.721.451/5667-37,44.095.751/4781-95,40169300,HZNK5062649,"4.521,906",SUDU5XLTF28SY,ALEMANHA,"195.535,36",TERMINAL PORTUARIO SINTETICO 01
di_0015,DI,26/4719563-0,25/10/2025,COSTA AZUL TRADING S A,07.588.447/9178-85,98.556.619/0912-50,85371090,KLLC7000177,"26.191,212",COSUBBCUBOVQT,INDIA,"316.127,19",PORTO DEMONSTRATIVO
di_0016,DI,25/2630877-3,27/10/2025,ALFA COMERCIO INTERNACIONAL LTDA,76.121.214/5098-79,97.107.349/7935-53,85044040,DEXZ7417179,"6.795,044",HBL9D69K62LN,CHINA,"60.850,47",TERMINAL PORTUARIO SINTETICO 01
di_0017,DI,25/7479123-0,18/04/2025,ALFA COMERCIO INTERNACIONAL LTDA,51.884.208/4912-38,70.968.603/2840-95,87089990,ZPBR9589036,"28.670,331",COSU1WEHSC5FK,ALEMANHA,"279.911,78",RECINTO ALFANDEGADO MODELO
di_0018,DI,26/8871637-6,07/12/2025,DELTA LOGISTICA E IMPORTACAO LTDA,23.980.216/1014-80,56.404.354/4361-80,85371090,HDAW8880840,"19.130,781",COSU3T2SZPB7Q,ALEMANHA,"892.705,87",PORTO DEMONSTRATIVO
di_0019,DI,26/8018767-9,01/01/2026,COSTA AZUL TRADING S A,01.414.861/2193-37,58.937.036/9111-13,87089990,LUYM2574823,"13.967,732",MSCUPLVR370LO,ALEMANHA,"420.778,55",RECINTO ALFANDEGADO MODELO
di_0020,DI,25/6412420-2,19/08/2025,NOVA ROTA COMERCIO EXTERIOR LTDA,26.531.219/8457-91,10.602.804/6556-62,94036000,VDHU8036614,"12.884,366",COSUMPWJSMF7W,ESTADOS UNIDOS,"280.928,87",RECINTO ALFANDEGADO MODELO
duimp_0001,DUIMP,BR257862680951,17/11/2025,BRAVO IMPORTADORA DE PECAS LTDA,41.029.237/8418-14,09.368.448/0885-21,85371090,XDAK9549350,"5.859,194",ONEYJXMJEG6OV,ESTADOS UNIDOS,"102.212,30",RECINTO ALFANDEGADO MODELO
duimp_0002,DUIMP,BR263211351472,25/07/2025,COSTA AZUL TRADING S A,70.292.282/3617-51,73.740.012/3027-51,39269090,QCFX4919167,"10.255,976",HBL0OP8IFG8D,CHINA,"306.035,05",RECINTO ALFANDEGADO MODELO
duimp_0003,DUIMP,BR269341858090,16/03/2026,COSTA AZUL TRADING S A,52.239.832/8357-59,85.713.122/3369-99,39269090,RCYU2865203,"17.952,428",COSUYIICW5NDM,MEXICO,"357.091,01",TERMINAL PORTUARIO SINTETICO 01
duimp_0004,DUIMP,BR254786376297,04/01/2026,DELTA LOGISTICA E IMPORTACAO LTDA,90.742.764/9534-67,56.594.511/9036-32,94036000,MKNJ7481926,"7.221,796",ONEY37U58Y177,COREIA DO SUL,"556.549,04",PORTO DEMONSTRATIVO
duimp_0005,DUIMP,BR253764853914,26/07/2025,NOVA ROTA COMERCIO EXTERIOR LTDA,15.062.415/8406-55,23.365.962/1727-75,40169300,DIGU5301161,"20.903,147",ONEY2PUNKDXMF,CHINA,"722.748,31",TERMINAL PORTUARIO SINTETICO 01
duimp_0006,DUIMP,BR266400228512,12/01/2025,BRAVO IMPORTADORA DE PECAS LTDA,87.224.031/8094-36,95.610.923/0819-13,39269090,XGTY2451383,"11.963,734",COSUER6YPIA2I,CHINA,"780.476,99",RECINTO ALFANDEGADO MODELO
duimp_0007,DUIMP,BR262237207796,19/03/2026,BRAVO IMPORTADORA DE PECAS LTDA,15.154.595/9920-35,78.649.030/6884-47,40169300,LWHO7367300,"25.098,407",HBLVHAE2W2CH,INDIA,"479.127,62",PORTO DEMONSTRATIVO
duimp_0008,DUIMP,BR267465216472,10/03/2025,NOVA ROTA COMERCIO EXTERIOR LTDA,62.813.637/5093-55,69.229.895/1202-84,85044040,ELIP7604154,"7.934,625",HBLZ7M1WWSSC,ESTADOS UNIDOS,"564.930,45",RECINTO ALFANDEGADO MODELO
duimp_0009,DUIMP,BR256007684233,14/04/2026,DELTA LOGISTICA E IMPORTACAO LTDA,15.587.662/4179-57,49.270.266/0403-85,94036000,DGOH6382591,"29.426,200",MSCU6S267D391,COREIA DO SUL,"177.596,62",TERMINAL PORTUARIO SINTETICO 01
duimp_0010,DUIMP,BR257927996672,01/09/2025,DELTA LOGISTICA E IMPORTACAO LTDA,15.793.552/0072-37,41.011.244/7888-70,85371090,EWRE1357109,"8.748,691",HBLTA5VO0TJX,ALEMANHA,"425.259,22",TERMINAL PORTUARIO SINTETICO 01
duimp_0011,DUIMP,BR265161781843,07/07/2025,DELTA LOGISTICA E IMPORTACAO LTDA,27.503.461/2246-23,24.706.361/9480-60,73181500,JIYO5233241,"25.263,062",ONEYWV9DUH4PF,MEXICO,"566.303,96",TERMINAL PORTUARIO SINTETICO 01
duimp_0012,DUIMP,BR268919681982,12/02/2025,COSTA AZUL TRADING S A,90.666.051/2401-21,37.955.402/4160-53,73181500,UZHI1651590,"8.199,217",SUDU94PZ1H6RJ,INDIA,"751.083,38",PORTO DEMONSTRATIVO
duimp_0013,DUIMP,BR256570727269,07/01/2025,ALFA COMERCIO INTERNACIONAL LTDA,94.208.039/1989-07,71.794.355/1468-81,73181500,OLNJ1038864,"19.450,692",HBLU0BR413DO,CHINA,"812.122,64",RECINTO ALFANDEGADO MODELO
duimp_0014,DUIMP,BR264762426102,12/02/2025,NOVA ROTA COMERCIO EXTERIOR LTDA,22.784.959/4632-84,68.790.064/5959-32,39269090,FWTL8661281,"8.429,205",ONEY7XW6ZBDUA,MEXICO,"606.597,58",RECINTO ALFANDEGADO MODELO
duimp_0015,DUIMP,BR254623110232,12/11/2025,DELTA LOGISTICA E IMPORTACAO LTDA,32.495.101/0638-32,75.706.862/0157-50,84713012,AVCA3579245,"22.858,260",MSCU1GYNSL0AM,COREIA DO SUL,"173.039,54",PORTO DEMONSTRATIVO
duimp_0016,DUIMP,BR269242461243,26/05/2025,NOVA ROTA COMERCIO EXTERIOR LTDA,41.959.254/6770-21,73.476.133/3115-81,87089990,NYIO1976606,"2.251,688",SUDUOY9G87ES8,COREIA DO SUL,"456.205,55",PORTO DEMONSTRATIVO
duimp_0017,DUIMP,BR267539546414,03/05/2025,NOVA ROTA COMERCIO EXTERIOR LTDA,28.722.664/5284-05,95.827.045/2251-80,87089990,ARMF6381684,"7.281,797",COSUAWJDRDLX7,COREIA DO SUL,"769.117,94",TERMINAL PORTUARIO SINTETICO 01
duimp_0018,DUIMP,BR252897241300,11/06/2025,BRAVO IMPORTADORA DE PECAS LTDA,63.093.754/1719-48,54.701.679/0030-47,73181500,ETGH9480108,"9.591,543",MBLY5P5T0EEO,INDIA,"496.830,88",TERMINAL PORTUARIO SINTETICO 01
duimp_0019,DUIMP,BR266174049145,23/03/2025,BRAVO IMPORTADORA DE PECAS LTDA,16.767.037/7906-35,73.422.045/0150-08,87089990,IXSH8253164,"20.248,457",ONEYT34BT144R,MEXICO,"820.341,64",PORTO DEMONSTRATIVO
duimp_0020,DUIMP,BR251836092345,12/05/2025,NOVA ROTA COMERCIO EXTERIOR LTDA,72.116.033/2373-62,42.987.916/3708-26,85371090,IGFS0959648,"7.417,109",SUDUIPVQMHBCX,ALEMANHA,"389.972,03",RECINTO ALFANDEGADO MODELO
ddi_0001,DDI,DDI-2026-478849,13/03/2025,BRAVO IMPORTADORA DE PECAS LTDA,30.258.349/0824-49,57.686.691/8440-36,94036000,YKWX8822587,"2.553,053",COSUEVGCBSECW,MEXICO,"138.830,67",TERMINAL PORTUARIO SINTETICO 01
ddi_0002,DDI,DDI-2026-995239,27/01/2026,DELTA LOGISTICA E IMPORTACAO LTDA,81.888.678/3690-01,78.180.894/8668-26,85044040,JGJN1013684,"28.483,038",ONEYRF6OOITPR,MEXICO,"251.244,24",RECINTO ALFANDEGADO MODELO
ddi_0003,DDI,DDI-2026-203628,05/07/2025,ALFA COMERCIO INTERNACIONAL LTDA,07.148.260/2240-13,92.679.187/0479-01,39269090,AXAP6108397,"12.891,708",MBL4CG2NX6AM,MEXICO,"541.353,85",RECINTO ALFANDEGADO MODELO
ddi_0004,DDI,DDI-2025-284162,16/04/2026,COSTA AZUL TRADING S A,40.519.245/8964-77,92.771.574/2048-97,94036000,XJTS6984903,"28.356,756",ONEYZKQJXKBUG,COREIA DO SUL,"691.477,93",RECINTO ALFANDEGADO MODELO
ddi_0005,DDI,DDI-2025-292464,02/10/2025,ALFA COMERCIO INTERNACIONAL LTDA,03.674.314/4966-04,16.491.535/0475-19,87089990,KFKX3000736,"2.104,154",HBLBEXS1CKY0,INDIA,"883.879,64",RECINTO ALFANDEGADO MODELO
ddi_0006,DDI,DDI-2025-775830,18/10/2025,ALFA COMERCIO INTERNACIONAL LTDA,94.035.268/5222-49,58.977.733/7279-46,39269090,EBDS1324733,"29.563,703",MBLQ6WL5YJ1G,ESTADOS UNIDOS,"408.442,12",PORTO DEMONSTRATIVO
ddi_0007,DDI,DDI-2025-787475,15/04/2026,COSTA AZUL TRADING S A,28.781.656/0616-44,86.144.954/7607-07,73181500,ZQWC9928419,"8.372,528",HBLTKPLVW8E8,ITALIA,"277.519,61",PORTO DEMONSTRATIVO
ddi_0008,DDI,DDI-2026-158194,02/04/2025,ALFA COMERCIO INTERNACIONAL LTDA,11.503.474/1461-22,31.575.213/5630-36,94036000,XJCI4105241,"6.974,282",MBLF2LRUHQGD,MEXICO,"349.329,35",PORTO DEMONSTRATIVO
ddi_0009,DDI,DDI-2025-461234,02/03/2026,NOVA ROTA COMERCIO EXTERIOR LTDA,26.413.413/4800-62,16.131.618/8294-91,87089990,TOGE4583694,"15.645,091",HBLAXNQOUX1F,ITALIA,"738.109,18",RECINTO ALFANDEGADO MODELO
ddi_0010,DDI,DDI-2026-306662,31/12/2025,DELTA LOGISTICA E IMPORTACAO LTDA,83.683.027/7237-52,71.747.569/9929-11,39269090,EGXL4616654,"19.554,853",SUDUGS7D7CMI3,COREIA DO SUL,"77.316,41",PORTO DEMONSTRATIVO
ddi_0011,DDI,DDI-2026-150838,25/01/2026,DELTA LOGISTICA E IMPORTACAO LTDA,56.445.856/4226-53,91.223.105/9308-13,85371090,PEYU0076050,"12.438,109",COSUA90KBN9YW,ALEMANHA,"819.105,18",PORTO DEMONSTRATIVO
ddi_0012,DDI,DDI-2026-575938,12/05/2025,BRAVO IMPORTADORA DE PECAS LTDA,09.384.135/6032-90,13.242.943/4302-69,85044040,DWTB7185475,"5.570,320",MBLVZQ3TV4GR,MEXICO,"369.057,50",PORTO DEMONSTRATIVO
ddi_0013,DDI,DDI-2026-636393,09/03/2026,DELTA LOGISTICA E IMPORTACAO LTDA,70.809.103/4057-28,14.764.126/3612-43,84713012,UOJA8585297,"5.399,066",SUDU4B58O0L74,CHINA,"328.138,38",TERMINAL PORTUARIO SINTETICO 01
ddi_0014,DDI,DDI-2025-319841,26/05/2025,ALFA COMERCIO INTERNACIONAL LTDA,62.592.944/3113-27,61.565.556/5669-18,39269090,YJCV8683934,"12.926,344",ONEYGA8V53PLW,CHINA,"838.068,31",PORTO DEMONSTRATIVO
ddi_0015,DDI,DDI-2025-876581,20/01/2025,ALFA COMERCIO INTERNACIONAL LTDA,98.082.861/3327-24,33.409.505/6171-07,84713012,NSYX5118721,"21.045,050",MSCUBUUW4NQOT,INDIA,"715.744,48",TERMINAL PORTUARIO SINTETICO 01
ddi_0016,DDI,DDI-2025-898246,21/06/2025,DELTA LOGISTICA E IMPORTACAO LTDA,08.620.840/3647-24,23.824.512/6032-24,40169300,ETKE0659044,"15.402,676",HBLINY7PTHKO,CHINA,"104.344,74",PORTO DEMONSTRATIVO
ddi_0017,DDI,DDI-2025-933168,30/10/2025,DELTA LOGISTICA E IMPORTACAO LTDA,45.305.645/5572-67,20.803.508/0278-20,85371090,YHJD3429527,"10.935,413",MSCUZXZJCMZDH,ITALIA,"878.482,18",TERMINAL PORTUARIO SINTETICO 01
ddi_0018,DDI,DDI-2025-137395,16/01/2026,ALFA COMERCIO INTERNACIONAL LTDA,69.013.084/4535-53,23.691.372/8911-94,94036000,TZRZ6027704,"7.031,903",MBL12BVM2UDE,INDIA,"162.666,41",TERMINAL PORTUARIO SINTETICO 01
ddi_0019,DDI,DDI-2025-847510,07/06/2025,BRAVO IMPORTADORA DE PECAS LTDA,59.708.594/5638-65,13.892.925/9234-02,40169300,YSOH4691743,"5.629,757",MSCUMG8VQMU4M,ESTADOS UNIDOS,"605.397,52",PORTO DEMONSTRATIVO
ddi_0020,DDI,DDI-2025-941823,12/02/2026,ALFA COMERCIO INTERNACIONAL LTDA,34.400.167/3372-60,47.702.912/4016-37,39269090,HRCB5989306,"5.938,858",SUDULZK6U0G8X,INDIA,"821.943,51",TERMINAL PORTUARIO SINTETICO 01
ctac_0001,CTAC,CTAC-2026-18602,27/10/2025,COSTA AZUL TRADING S A,05.620.928/9931-82,33.913.060/1747-40,40169300,VWKF6594560,"17.780,685",MBLC77OGQEQM,COREIA DO SUL,"365.330,98",PORTO DEMONSTRATIVO
ctac_0002,CTAC,CTAC-2026-44267,29/10/2025,DELTA LOGISTICA E IMPORTACAO LTDA,09.344.905/4935-55,69.151.364/7804-90,39269090,WXON2244841,"22.212,570",MSCU7H0YT6UCV,COREIA DO SUL,"123.434,89",PORTO DEMONSTRATIVO
ctac_0003,CTAC,CTAC-2026-12271,18/04/2025,ATLANTICO SUL INDUSTRIA E COMERCIO LTDA,93.270.154/4212-72,35.248.725/1979-74,85371090,CIOI3331178,"16.582,910",ONEYDB1NLARQ6,CHINA,"91.328,99",RECINTO ALFANDEGADO MODELO
ctac_0004,CTAC,CTAC-2025-75498,08/09/2025,ATLANTICO SUL INDUSTRIA E COMERCIO LTDA,39.159.557/5922-04,52.219.084/5705-51,40169300,CPWG5156394,"14.822,303",ONEYHDTIFXIST,INDIA,"947.223,28",PORTO DEMONSTRATIVO
ctac_0005,CTAC,CTAC-2026-53064,01/01/2025,NOVA ROTA COMERCIO EXTERIOR LTDA,85.520.842/5229-99,60.900.639/0773-02,39269090,LKIY9773704,"16.473,872",COSUMVHH34P6C,CHINA,"292.064,75",RECINTO ALFANDEGADO MODELO
ctac_0006,CTAC,CTAC-2025-90856,17/02/2025,DELTA LOGISTICA E IMPORTACAO LTDA,32.337.738/4958-56,86.650.343/6723-11,84713012,TIYE0122029,"11.131,729",MSCUMRBJ6WY75,COREIA DO SUL,"153.256,05",TERMINAL PORTUARIO SINTETICO 01
ctac_0007,CTAC,CTAC-2026-91279,20/03/2026,BRAVO IMPORTADORA DE PECAS LTDA,06.272.077/1789-33,01.785.682/7733-09,94036000,ZDCN6404191,"8.421,036",HBLYD59XJ9LL,ALEMANHA,"58.346,37",TERMINAL PORTUARIO SINTETICO 01
ctac_0008,CTAC,CTAC-2026-91526,19/10/2025,BRAVO IMPORTADORA DE PECAS LTDA,33.080.032/7525-43,57.928.109/9015-38,73181500,BNYN0672441,"12.252,236",MBL3QN8DMUTS,ESTADOS UNIDOS,"744.562,14",PORTO DEMONSTRATIVO
ctac_0009,CTAC,CTAC-2026-16598,13/12/2025,NOVA ROTA COMERCIO EXTERIOR LTDA,85.908.919/7881-67,16.209.201/6557-03,87089990,TVGK9345842,"15.532,515",ONEY5RNSDLJ3Z,ITALIA,"818.730,40",RECINTO ALFANDEGADO MODELO
ctac_0010,CTAC,CTAC-2025-40635,14/02/2026,BRAVO IMPORTADORA DE PECAS LTDA,98.807.571/8611-48,27.707.623/3335-55,85044040,UFAS0675437,"20.606,212",HBL7D0G0NG06,ALEMANHA,"144.595,62",TERMINAL PORTUARIO SINTETICO 01
ctac_0011,CTAC,CTAC-2025-53389,04/08/2025,DELTA LOGISTICA E IMPORTACAO LTDA,05.180.619/8358-25,94.523.977/6110-72,85371090,DUBY4265935,"6.204,500",HBLXKID1D1OA,CHINA,"801.555,48",PORTO DEMONSTRATIVO
ctac_0012,CTAC,CTAC-2026-22590,20/10/2025,DELTA LOGISTICA E IMPORTACAO LTDA,52.537.820/1598-40,20.614.418/7931-89,39269090,QQMQ3807678,"15.386,128",COSUADO45NS75,ESTADOS UNIDOS,"140.844,93",PORTO DEMONSTRATIVO
ctac_0013,CTAC,CTAC-2026-98612,16/02/2026,DELTA LOGISTICA E IMPORTACAO LTDA,00.949.149/6132-04,12.824.195/6478-22,73181500,NEIY4832524,"15.180,336",HBLHGOUU2GIV,ESTADOS UNIDOS,"610.231,64",TERMINAL PORTUARIO SINTETICO 01
ctac_0014,CTAC,CTAC-2025-24727,20/08/2025,ALFA COMERCIO INTERNACIONAL LTDA,62.338.021/4608-50,64.733.591/4553-71,39269090,SSIZ1002268,"4.703,912",COSUNPL2SB955,ALEMANHA,"781.215,21",PORTO DEMONSTRATIVO
ctac_0015,CTAC,CTAC-2026-56737,09/03/2026,NOVA ROTA COMERCIO EXTERIOR LTDA,16.514.510/9641-59,20.371.243/0772-74,85371090,DDWX1109933,"26.459,868",HBLUJXJXOQYS,ALEMANHA,"817.672,61",TERMINAL PORTUARIO SINTETICO 01
ctac_0016,CTAC,CTAC-2025-29606,10/09/2025,BRAVO IMPORTADORA DE PECAS LTDA,01.309.431/1959-15,14.790.524/3506-32,94036000,SAKQ7609569,"8.790,090",HBLB1HA29H0X,ALEMANHA,"170.497,80",PORTO DEMONSTRATIVO
ctac_0017,CTAC,CTAC-2026-31313,13/07/2025,ALFA COMERCIO INTERNACIONAL LTDA,89.770.409/5041-16,36.177.650/7828-38,39269090,NHYG8148213,"4.437,525",HBLSSU32TSB8,MEXICO,"315.953,48",RECINTO ALFANDEGADO MODELO
ctac_0018,CTAC,CTAC-2025-51869,30/09/2025,ALFA COMERCIO INTERNACIONAL LTDA,97.824.022/3372-22,13.951.986/7242-33,85044040,EWAP1152841,"6.489,848",ONEY3BZAGKI5F,CHINA,"877.232,04",PORTO DEMONSTRATIVO
ctac_0019,CTAC,CTAC-2026-74295,01/02/2026,DELTA LOGISTICA E IMPORTACAO LTDA,05.490.416/3920-50,53.791.516/9846-76,87089990,ITKF4335588,"5.766,489",MSCUI006D9DIG,ITALIA,"520.383,15",PORTO DEMONSTRATIVO
ctac_0020,CTAC,CTAC-2026-15173,25/03/2025,COSTA AZUL TRADING S A,28.458.783/4316-77,43.335.791/0345-85,85044040,NGCQ0287977,"28.090,986",MBLFG5GCVYNC,ALEMANHA,"436.941,91",TERMINAL PORTUARIO SINTETICO 01
